Staircase Data
Subject	Session	Trial	StairNum	Procedure	Target	Acc	RT	Prev_Acc	MadeReversal?	NumReversals	Last_Reversal
Staircase Data
Subject	Session	Trial	StairNum	Procedure	Target	Acc	RT	Prev_Acc	MadeReversal?	NumReversals	Last_Reversal
Staircase Data
Subject	Session	Trial	StairNum	Procedure	Target	Acc	RT	Prev_Acc	MadeReversal?	NumReversals	Last_Reversal
1	1	1	1	TrialProc	600	1	1422	0	0	0	0
1	1	2	1	TrialProc	720	0	692	1	0	0	0
1	1	3	1	TrialProc	720	1	610	0	0	0	0
1	1	4	1	TrialProc	720	1	518	1	0	0	0
1	1	5	1	TrialProc	630	1	666	1	1	1	720
1	1	6	1	TrialProc	630	1	524	1	0	1	720
1	1	7	1	TrialProc	630	1	1048	1	0	1	720
1	1	8	1	TrialProc	540	1	590	1	0	1	720
1	1	9	1	TrialProc	540	1	482	1	0	1	720
1	1	10	1	TrialProc	540	1	396	1	0	1	720
1	1	11	1	TrialProc	660	0	636	1	1	2	540
1	1	12	1	TrialProc	660	1	326	0	0	2	540
1	1	13	1	TrialProc	660	1	430	1	0	2	540
1	1	14	1	TrialProc	600	1	526	1	1	3	660
1	1	15	1	TrialProc	600	1	435	1	0	3	660
1	1	16	1	TrialProc	600	1	410	1	0	3	660
1	1	17	1	TrialProc	540	1	527	1	0	3	660
1	1	18	1	TrialProc	540	1	455	1	0	3	660
1	1	19	1	TrialProc	540	1	734	1	0	3	660
1	1	20	1	TrialProc	480	1	535	1	0	3	660
1	1	21	1	TrialProc	480	1	488	1	0	3	660
1	1	22	1	TrialProc	480	1	389	1	0	3	660
1	1	23	1	TrialProc	420	1	303	1	0	3	660
1	1	24	1	TrialProc	420	1	341	1	0	3	660
1	1	25	1	TrialProc	420	1	367	1	0	3	660
1	1	26	1	TrialProc	360	1	303	1	0	3	660
1	1	27	1	TrialProc	360	1	443	1	0	3	660
1	1	28	1	TrialProc	440	0	857	1	1	4	360
1	1	29	1	TrialProc	440	1	317	0	0	4	360
1	1	30	1	TrialProc	440	1	347	1	0	4	360
1	1	31	1	TrialProc	410	1	311	1	1	5	440
1	1	32	1	TrialProc	410	1	317	1	0	5	440
1	1	33	1	TrialProc	410	1	495	1	0	5	440
1	1	34	1	TrialProc	380	1	375	1	0	5	440
1	1	35	1	TrialProc	380	1	285	1	0	5	440
1	1	36	1	TrialProc	380	1	315	1	0	5	440
1	1	37	1	TrialProc	350	1	489	1	0	5	440
1	1	38	1	TrialProc	350	1	387	1	0	5	440
1	1	39	1	TrialProc	350	1	327	1	0	5	440
1	1	40	1	TrialProc	320	1	319	1	0	5	440
1	1	41	1	TrialProc	320	1	379	1	0	5	440
1	1	42	1	TrialProc	320	1	317	1	0	5	440
1	1	43	1	TrialProc	290	1	235	1	0	5	440
1	1	44	1	TrialProc	290	1	269	1	0	5	440
1	1	45	1	TrialProc	290	1	233	1	0	5	440
1	1	46	1	TrialProc	260	1	339	1	0	5	440
1	1	47	1	TrialProc	260	1	293	1	0	5	440
1	1	48	1	TrialProc	260	1	247	1	0	5	440
1	1	49	1	TrialProc	230	1	268	1	0	5	440
1	1	50	1	TrialProc	230	1	363	1	0	5	440
1	1	51	1	TrialProc	230	1	282	1	0	5	440
1	1	52	1	TrialProc	200	1	271	1	0	5	440
1	1	53	1	TrialProc	200	1	271	1	0	5	440
1	1	54	1	TrialProc	200	1	354	1	0	5	440
1	1	55	1	TrialProc	170	1	295	1	0	5	440
1	1	56	1	TrialProc	210	0	730	1	1	6	170
1	1	57	1	TrialProc	210	1	476	0	0	6	170
1	1	58	1	TrialProc	210	1	288	1	0	6	170
1	1	59	1	TrialProc	180	1	262	1	1	7	210
1	1	60	1	TrialProc	180	1	310	1	0	7	210
1	1	61	1	TrialProc	180	1	381	1	0	7	210
1	1	62	1	TrialProc	150	1	325	1	0	7	210
1	1	63	1	TrialProc	150	1	383	1	0	7	210
1	1	64	1	TrialProc	150	1	327	1	0	7	210
1	1	65	1	TrialProc	120	1	357	1	0	7	210
1	1	66	1	TrialProc	120	1	401	1	0	7	210
1	1	67	1	TrialProc	120	1	381	1	0	7	210
1	1	68	1	TrialProc	160	0	583	1	1	8	120
1	1	69	1	TrialProc	160	1	279	0	0	8	120
1	1	70	1	TrialProc	160	1	419	1	0	8	120
1	1	71	1	TrialProc	130	1	300	1	1	9	160
1	1	72	1	TrialProc	130	1	591	1	0	9	160
